79,0.0367,9,4,0.107,-6.484,254347,0.327,250,0.172,0.000097,spotify:track:1t6n18rlXyic8yohYQ1UGY,15,0.793,164.262,0.239,0,19,Fuel,Falls on Me
80,0.0279,7,4,0.264,-7.482,244667,0.636,246,0.291,0.586,spotify:track:5OVofGV3opkR1hq0C9RSCu,15,0.561,120.471,0.0000151,1,20,Five for Fighting,100 Years
81,0.116,2,4,0.291,-2.741,199693,0.755,198,0.719,0.0746,spotify:track:5OMwQFBcte0aWFJFqrr5oj,33,0.832,120.032,0.00000127,0,1,Kesha,Tik Tok
82,0.0391,0,4,0.0831,-3.75,294573,0.697,258,0.72,0.00305,spotify:track:5P5cGNzqh6A353N3ShDK6Y,33,0.921,118.99,0.0000365,1,2,Lady Gaga,Bad Romance
83,0.0385,1,4,0.696,-3.588,250600,0.569,249,0.189,0.0117,spotify:track:3YJkAQNEhmCZGLdmPsu6Ye,33,0.755,91.022,0,1,3,Rihanna featuring Jeezy,Hard
84,0.033,0,4,0.348,-4.15,199027,0.762,196,0.837,0.0266,spotify:track:0TyOpxlWwDx98bjkIVHUgY,33,0.748,110.009,0,0,4,Jason Derulo,In My Head
85,0.318,5,5,0.289,-3.238,235987,0.521,236,0.44,0.168,spotify:track:3vNiHPIipR4a4bZKA288CD,33,0.849,122.852,0,1,5,Snoop Dogg,I Wanna Rock
86,0.225,8,4,0.141,-6.089,288133,0.732,288,0.571,0.109,spotify:track:3iL2l5gUqyPS6vDwJFgJTR,33,0.659,148.001,0,1,6,Young Money featuring Lloyd,BedRock
87,0.085,11,4,0.118,-4.88,210307,0.854,207,0.773,0.0278,spotify:track:7yws3pF3FFguwT2Psi6c15,33,0.664,125.84,0,1,7,Jay Sean featuring Sean Paul and Lil Jon,Do You Remember
88,0.0708,9,4,0.168,-6.323,182307,0.706,180,0.189,0.173,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,33,0.751,91.031,0,1,8,Iyaz,Replay
89,0.0417,3,4,0.133,-6.72,228347,0.591,225,0.482,0.0294,spotify:track:3DamFFqW32WihKkTVlwTYQ,33,0.649,90.002,0,1,9,Owl City,Fireflies
90,0.0436,1,4,0.086,-4.432,216667,0.675,213,0.775,0.217,spotify:track:0KpfYajJVVGgQ32Dby7e9i,33,0.885,97.03,0,0,10,Train,"Hey, Soul Sister"
91,0.0299,5,4,0.437,-3.45,206413,0.434,204,0.321,0.0534,spotify:track:4gWTBq5Jftq5CEKYpLXD8R,33,0.764,51.316,0,1,11,Daughtry,Life After You
92,0.0443,0,4,0.287,-2.501,212747,0.578,208,0.943,0.0267,spotify:track:51YhN4y2tOvfI0Sv1hoBRo,33,0.9,92.011,0,1,12,Kris Allen,Live Like We're Dying
93,0.0489,11,4,0.0593,-4.732,227320,0.44,224,0.451,0.00706,spotify:track:2rDwdvBma1O1eLzo29p2cr,33,0.683,185.948,0,0,13,Adam Lambert,Whataya Want from Me
94,0.0558,5,4,0.0965,-2.526,200347,0.607,197,0.563,0.0221,spotify:track:72phhQtfwZcRweweRxxkmU,33,0.922,130.972,0.0000204,1,14,Orianthi,According to You
95,0.0303,4,4,0.2,-5.535,277573,0.587,232,0.225,0.0927,spotify:track:11EX5yhxr9Ihl3IN1asrfK,33,0.622,107.943,0.000636,1,15,Lady Antebellum,Need You Now
96,,,,,,,,251,,,,33,,,,,16,Taylor Swift,Fearless
97,0.0657,9,4,0.133,-3.849,216712,0.609,213,0.394,0.0389,spotify:track:72i7uzzu8ImxvCxK6AX4bX,33,0.719,128.027,0,0,17,Ashlyne Huff,Heart of Gold
98,0.0312,11,4,0.0987,-8.029,222907,0.608,219,0.228,0.321,spotify:track:5gdafBEy4PNf3HusHh3qzu,33,0.698,139.989,0.000483,1,18,Jamie Cullum,Wheels
99,,,,,,,,208,,,,33,,,,,19,Jaicko,Fast Forward
100,0.055,4,4,0.233,-4.683,,,,,,,,,,,,,,
